model,accuracy,precision,recall,f1,roc_auc
linear_svc,0.9988121752041574,0.9985811577752554,0.9991482112436116,0.9988646040306557,0.9999946094912189
logistic_regression,0.9952487008166295,0.9963026166097838,0.9946053378762068,0.9954532537652743,0.9998018767100505
sgd_classifier,0.9907943578322197,0.994568324757004,0.9877910278250994,0.9911680911680911,0.9995031895021874
multinomial_nb,0.9667409057164068,0.9698005698005698,0.966496308915389,0.9681456200227532,0.9936827655536945
